iter	Passed	Remaining
0	2	230
1	4	221
2	6	205
3	7	188
4	10	192
5	12	193
6	14	197
7	17	199
8	19	198
9	21	195
10	24	194
11	26	195
12	28	192
13	30	190
14	33	187
15	35	186
16	37	183
17	39	181
18	42	179
19	44	177
20	46	176
21	49	175
22	51	171
23	53	169
24	55	166
25	57	163
26	59	160
27	61	158
28	63	155
29	65	153
30	68	151
31	70	148
32	72	146
33	74	144
34	76	142
35	78	140
36	81	137
37	83	135
38	84	132
39	87	130
40	89	128
41	90	125
42	92	122
43	94	120
44	96	117
45	98	115
46	100	113
47	102	111
48	104	109
49	106	106
50	108	104
51	110	102
52	112	100
53	114	97
54	115	94
55	117	92
56	119	90
57	121	87
58	122	85
59	124	83
60	126	81
61	128	78
62	130	76
63	132	74
64	134	72
65	136	70
66	138	68
67	140	66
68	141	63
69	143	61
70	145	59
71	147	57
72	149	55
73	151	53
74	152	50
75	153	48
76	155	46
77	157	44
78	159	42
79	161	40
80	163	38
81	164	36
82	166	34
83	168	32
84	170	30
85	172	28
86	173	25
87	175	23
88	177	21
89	179	19
90	181	17
91	182	15
92	184	13
93	186	11
94	188	9
95	189	7
96	191	5
97	193	3
98	195	1
99	197	0
