iter	Passed	Remaining
0	146	146184
1	148	74227
2	150	50151
3	152	38091
4	154	30830
5	156	25932
6	157	22391
7	159	19735
8	160	17647
9	161	15970
10	162	14609
11	163	13451
12	164	12476
13	165	11662
14	166	10944
15	167	10305
16	168	9748
17	169	9248
18	170	8796
19	171	8397
20	172	8040
21	173	7707
22	174	7403
23	175	7121
24	176	6868
25	176	6629
26	177	6410
27	178	6210
28	180	6029
29	181	5855
30	182	5690
31	183	5537
32	184	5394
33	184	5252
34	185	5124
35	186	5005
36	187	4889
37	188	4777
38	189	4671
39	190	4570
40	191	4474
41	192	4390
42	193	4309
43	194	4227
44	195	4149
45	196	4071
46	197	4000
47	198	3932
48	199	3866
49	200	3801
50	201	3741
51	201	3680
52	202	3625
53	203	3569
54	204	3515
55	205	3464
56	206	3413
57	207	3365
58	208	3321
59	209	3279
60	210	3235
61	211	3194
62	212	3154
63	212	3115
64	213	3078
65	214	3039
66	215	3004
67	216	2967
68	217	2934
69	218	2900
70	219	2867
71	219	2835
72	221	2806
73	221	2777
74	223	2751
75	224	2726
76	225	2697
77	226	2672
78	227	2647
79	228	2622
80	228	2596
81	229	2572
82	230	2543
83	231	2519
84	231	2497
85	232	2475
86	233	2452
87	234	2430
88	235	2410
89	236	2389
90	237	2369
91	238	2349
92	239	2331
93	239	2312
94	240	2294
95	241	2275
96	242	2258
97	243	2241
98	244	2223
99	245	2205
100	245	2189
101	246	2173
102	247	2156
103	248	2140
104	249	2125
105	250	2111
106	251	2096
107	252	2081
108	253	2068
109	254	2055
110	254	2041
111	255	2027
112	256	2014
113	257	2001
114	258	1988
115	259	1976
116	259	1961
117	260	1949
118	261	1937
119	262	1924
120	263	1913
121	264	1899
122	264	1888
123	265	1876
124	266	1865
125	267	1855
126	268	1843
127	269	1833
128	269	1823
129	270	1812
130	271	1802
131	272	1792
132	273	1781
133	274	1771
134	275	1762
135	275	1752
136	276	1742
137	277	1733
138	278	1724
139	279	1715
140	280	1705
141	280	1695
142	281	1687
143	282	1679
144	283	1671
145	284	1663
146	285	1654
147	286	1647
148	286	1639
149	287	1631
150	289	1624
151	289	1617
152	290	1609
153	291	1601
154	292	1593
155	293	1587
156	294	1580
157	294	1572
158	295	1565
159	296	1558
160	297	1550
161	298	1544
162	299	1537
163	300	1532
164	301	1525
165	302	1520
166	303	1514
167	304	1507
168	305	1501
169	306	1494
170	307	1488
171	307	1482
172	308	1477
173	309	1471
174	310	1465
175	311	1459
176	312	1454
177	313	1449
178	315	1445
179	316	1439
180	317	1434
181	318	1429
182	318	1423
183	319	1418
184	320	1412
185	321	1407
186	322	1402
187	323	1397
188	324	1391
189	325	1386
190	326	1380
191	326	1375
192	328	1373
193	329	1368
194	330	1363
195	331	1359
196	332	1354
197	333	1350
198	334	1344
199	334	1339
200	335	1334
201	336	1330
202	337	1325
203	338	1321
204	339	1316
205	340	1312
206	341	1308
207	342	1304
208	343	1300
209	344	1296
210	345	1293
211	346	1289
212	347	1284
213	348	1280
214	349	1276
215	350	1272
216	351	1269
217	352	1264
218	353	1260
219	354	1255
220	355	1251
221	356	1247
222	357	1244
223	358	1241
224	359	1237
225	360	1234
226	361	1230
227	362	1226
228	363	1222
229	363	1218
230	365	1215
231	365	1211
232	366	1207
233	367	1203
234	368	1199
235	369	1196
236	370	1192
237	371	1188
238	372	1185
239	373	1183
240	374	1179
241	375	1177
242	376	1174
243	377	1170
244	378	1166
245	379	1164
246	381	1161
247	382	1158
248	383	1155
249	383	1151
250	384	1148
251	385	1145
252	386	1142
253	388	1139
254	389	1136
255	390	1133
256	391	1130
257	392	1127
258	393	1124
259	394	1122
260	395	1119
261	396	1116
262	397	1113
263	398	1110
264	399	1107
265	400	1105
266	401	1103
267	403	1101
268	404	1098
269	405	1095
270	406	1092
271	407	1089
272	408	1086
273	409	1083
274	410	1081
275	411	1078
276	412	1075
277	412	1072
278	414	1069
279	414	1067
280	415	1064
281	417	1061
282	418	1059
283	419	1056
284	420	1053
285	420	1050
286	421	1047
287	422	1045
288	423	1042
289	424	1039
290	425	1037
291	426	1034
292	427	1032
293	428	1029
294	429	1027
295	431	1025
296	432	1022
297	433	1020
298	434	1017
299	435	1015
300	436	1013
301	437	1010
302	438	1007
303	439	1005
304	440	1003
305	441	1000
306	442	998
307	443	996
308	444	993
309	445	991
310	446	989
311	447	987
312	449	985
313	450	983
314	451	982
315	452	980
316	453	978
317	455	976
318	456	974
319	457	972
320	458	970
321	459	967
322	460	965
323	461	963
324	463	961
325	464	960
326	465	958
327	466	956
328	467	954
329	468	951
330	469	949
331	470	947
332	471	945
333	473	943
334	474	942
335	475	939
336	476	937
337	477	935
338	478	933
339	479	931
340	480	929
341	482	927
342	483	925
343	484	923
344	485	920
345	486	918
346	487	916
347	488	914
348	489	912
349	490	910
350	491	908
351	492	906
352	493	904
353	494	902
354	495	899
355	496	897
356	497	895
357	498	893
358	499	891
359	500	889
360	501	887
361	502	885
362	503	883
363	505	882
364	506	880
365	507	878
366	508	877
367	509	875
368	511	874
369	512	871
370	513	869
371	513	867
372	515	865
373	516	863
374	517	862
375	518	859
376	518	857
377	520	855
378	521	853
379	522	851
380	522	849
381	524	847
382	525	846
383	526	844
384	527	842
385	528	840
386	529	838
387	530	836
388	531	835
389	532	833
390	533	831
391	534	829
392	536	828
393	537	826
394	538	824
395	539	822
396	540	820
397	541	818
398	542	817
399	543	815
400	544	813
401	545	811
402	546	809
403	547	807
404	548	805
405	549	803
406	550	801
407	551	799
408	552	798
409	553	796
410	554	794
411	555	792
412	556	790
413	557	789
414	558	787
415	559	785
416	560	783
417	561	781
418	562	780
419	564	778
420	565	777
421	566	775
422	566	773
423	568	771
424	569	770
425	570	768
426	571	766
427	572	765
428	573	763
429	575	762
430	576	760
431	577	759
432	578	757
433	579	755
434	580	753
435	581	751
436	582	750
437	583	748
438	584	747
439	586	745
440	587	744
441	588	742
442	589	741
443	590	739
444	591	737
445	592	735
446	593	734
447	594	732
448	595	730
449	596	728
450	597	727
451	598	725
452	599	723
453	600	722
454	601	720
455	602	718
456	603	717
457	604	715
458	605	713
459	606	712
460	607	710
461	608	708
462	609	706
463	610	705
464	611	703
465	612	701
466	613	700
467	614	698
468	615	696
469	616	695
470	617	693
471	618	692
472	619	690
473	620	688
474	621	686
475	622	685
476	623	683
477	624	681
478	625	680
479	626	678
480	627	676
481	628	675
482	629	673
483	630	672
484	631	670
485	632	669
486	633	667
487	634	666
488	635	664
489	636	662
490	637	661
491	638	659
492	639	657
493	640	656
494	641	654
495	642	652
496	643	651
497	644	649
498	645	648
499	646	646
500	647	645
501	648	643
502	649	641
503	650	640
504	651	638
505	652	637
506	653	635
507	654	633
508	655	632
509	656	630
510	657	629
511	658	627
512	659	626
513	660	624
514	661	623
515	662	621
516	663	619
517	664	618
518	665	616
519	666	615
520	667	613
521	668	611
522	669	610
523	669	608
524	670	606
525	671	605
526	672	603
527	673	602
528	674	600
529	675	599
530	676	597
531	677	596
532	678	594
533	679	593
534	680	591
535	681	590
536	682	588
537	683	587
538	684	585
539	685	583
540	686	582
541	687	580
542	688	579
543	689	577
544	690	576
545	691	574
546	692	573
547	693	571
548	694	570
549	695	568
550	696	567
551	697	565
552	698	564
553	698	562
554	699	561
555	700	559
556	701	558
557	702	556
558	703	555
559	704	553
560	705	552
561	706	550
562	707	549
563	708	547
564	709	546
565	710	544
566	711	543
567	713	542
568	714	540
569	715	539
570	715	537
571	716	536
572	717	534
573	718	533
574	719	531
575	720	530
576	721	529
577	722	527
578	723	526
579	724	524
580	725	523
581	726	522
582	727	520
583	728	519
584	730	517
585	730	516
586	731	514
587	733	513
588	734	512
589	735	510
590	736	509
591	737	508
592	738	506
593	739	505
594	740	504
595	741	502
596	742	501
597	743	499
598	744	498
599	745	496
